#TYPE Microsoft.Windows.ServerManager.Commands.Feature
"Name","DisplayName","Description","Installed","InstallState","FeatureType","Path","Depth","DependsOn","Parent","ServerComponentDescriptor","SubFeatures","SystemService","Notification","BestPracticesModelId","EventQuery","PostConfigurationNeeded","AdditionalInfo"
"ADFS-Federation","Active Directory Federation Services","Active Directory フェデレーション サービス (AD FS) は、セキュリティで保護された簡易な ID フェデレーション機能と Web シングル サインオン (SSO) 機能を提供します。AD FS には、ブラウザー ベースの Web SSO を有効にするフェデレーション サービスが含まれます。","False","Available","Role","Active Directory Federation Services","1","System.String[]",,"ServerComponent_ADFS_Federation","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/FederationServices","IdentityServer.Events.xml","False","System.Collections.Hashtable"
"ADRMS","Active Directory Rights Management サービス","Active Directory Rights Management サービス (AD RMS) は、情報を無断使用から保護するために使用されます。AD RMS を利用してユーザーの ID を確立し、許可されたユーザーに保護情報のライセンスを提供します。","False","Available","Role","Active Directory Rights Management サービス","1","System.String[]",,"ServerComponent_ADRMS","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/ADRMS","ActiveDirectoryRightsManagementServices.Events.xml","False","System.Collections.Hashtable"
"ADRMS-Server","Active Directory Rights Management サーバー","Active Directory Rights Management サービス (AD RMS) は、情報を無断使用から保護するために使用されます。AD RMS を利用してユーザーの ID を確立し、許可されたユーザーに保護情報のライセンスを提供します。","False","Available","Role Service","Active Directory Rights Management サービス\Active Directory Rights Management サーバー","2","System.String[]","ADRMS","ServerComponent_ADRMS_Server","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"ADRMS-Identity","ID フェデレーション サポート","ID フェデレーション サポートは、自分の組織と他の組織間のフェデレーションされた信頼関係を利用して、ユーザー ID を確立し、各組織で作成された保護情報へのアクセスを提供します。たとえば、Active Directory フェデレーション サービスで作成された信頼を使用して、AD RMS 用のユーザー ID を確立できます。","False","Available","Role Service","Active Directory Rights Management サービス\ID フェデレーション サポート","2","System.String[]","ADRMS","ServerComponent_ADRMS_Identity","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"AD-Domain-Services","Active Directory ドメイン サービス","Active Directory ドメイン サービス (AD DS) は、ネットワーク上のオブジェクトに関する情報を格納し、この情報をユーザーおよびネットワーク管理者が使用できるようにします。AD DS はドメイン コントローラーを使用して、ネットワーク ユーザーが 1 回のログオン プロセスでネットワーク上の任意の場所にある許可されたリソースにアクセスできるようにします。","False","Available","Role","Active Directory ドメイン サービス","1","System.String[]",,"ServerComponent_AD_Domain_Services","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/DirectoryServices","ActiveDirectoryDomainServices.Events.xml","False","System.Collections.Hashtable"
"ADLDS","Active Directory ライトウェイト ディレクトリ サービス","Active Directory ライトウェイト ディレクトリ サービス (AD LDS) は、アプリケーション固有データのストアを、Active Directory ドメイン サービスのインフラストラクチャを必要としないディレクトリ対応アプリケーションに対して提供します。1 つのサーバー上に複数の AD LDS インスタンスが共存でき、それぞれに独自のスキーマを持たせることができます。","False","Available","Role","Active Directory ライトウェイト ディレクトリ サービス","1","System.String[]",,"ServerComponent_ADLDS","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/LightweightDirectoryServices","ADAM.Events.xml","False","System.Collections.Hashtable"
"AD-Certificate","Active Directory 証明書サービス","Active Directory 証明書サービス (AD CS) は、さまざまなアプリケーションにおいて証明書を発行したり、それを管理するために使用します。","False","Available","Role","Active Directory 証明書サービス","1","System.String[]",,"ServerComponent_AD_Certificate","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/CertificateServices","ActiveDirectoryCertificateServices.Events.xml","False","System.Collections.Hashtable"
"ADCS-Cert-Authority","証明機関","証明機関 (CA) は、証明書を発行および管理するために使用されます。複数の CA をリンクさせることで公開キー基盤を構成できます。","False","Available","Role Service","Active Directory 証明書サービス\証明機関","2","System.String[]","AD-Certificate","ServerComponent_ADCS_Cert_Authority","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"ADCS-Online-Cert","オンライン レスポンダー","オンライン レスポンダーは、複雑なネットワーク環境において、証明書の失効確認データにクライアントからアクセスできるようにします。","False","Available","Role Service","Active Directory 証明書サービス\オンライン レスポンダー","2","System.String[]","AD-Certificate","ServerComponent_ADCS_Online_Cert","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"ADCS-Device-Enrollment","ネットワーク デバイス登録サービス","ネットワーク デバイス登録サービスを使用すると、ネットワーク アカウントを持っていないルーターとその他のネットワーク デバイスの証明書を発行および管理できるようになります。","False","Available","Role Service","Active Directory 証明書サービス\ネットワーク デバイス登録サービス","2","System.String[]","AD-Certificate","ServerComponent_ADCS_Device_Enrollment","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
